Name,Address,Rating,Website,Open Hours,Cuisine Type
Indianapolis,Indianapolis,N/A,N/A,N/A,locality
Hilton Garden Inn Indianapolis Downtown,"10 East Market Street, Indianapolis",4.3,N/A,N/A,lodging
Conrad Indianapolis,"50 West Washington Street, Indianapolis",4.6,N/A,N/A,lodging
Sheraton Indianapolis City Centre Hotel,"31 West Ohio Street, Indianapolis",4.1,N/A,N/A,lodging
Hilton Indianapolis Hotel & Suites,"120 West Market Street, Indianapolis",4.4,N/A,N/A,lodging
Embassy Suites by Hilton Indianapolis Downtown,"110 West Washington Street, Indianapolis",4.1,N/A,N/A,lodging
Hyatt Regency Indianapolis,"1 South Capitol Avenue, Indianapolis",4.3,N/A,N/A,lodging
Hampton Inn Indianapolis Downtown Across from Circle Centre,"105 South Meridian Street, Indianapolis",4.2,N/A,N/A,lodging
The Westin Indianapolis,"241 West Washington Street, Indianapolis",4.3,N/A,N/A,lodging
Indianapolis Marriott Downtown,"350 West Maryland Street, Indianapolis",4.3,N/A,N/A,lodging
La Quinta Inn & Suites by Wyndham Indianapolis Downtown,"401 East Washington Street, Indianapolis",3.3,N/A,N/A,lodging
"Crowne Plaza Indianapolis-Dwtn-Union Stn, an IHG Hotel","123 West Louisiana Street, Indianapolis",4.2,N/A,N/A,lodging
Residence Inn by Marriott Indianapolis Downtown on the Canal,"350 West New York Street, Indianapolis",4.1,N/A,N/A,lodging
Fairfield Inn & Suites by Marriott Indianapolis Downtown,"501 West Washington Street, Indianapolis",4.2,N/A,N/A,lodging
JW Marriott Indianapolis,"10 South West Street, Indianapolis",4.5,N/A,N/A,lodging
SpringHill Suites by Marriott Indianapolis Downtown,"601 West Washington Street, Indianapolis",4.3,N/A,N/A,lodging
Courtyard by Marriott Indianapolis Downtown,"601 West Washington Street, Indianapolis",4.3,N/A,N/A,lodging
"Holiday Inn Express & Suites Indianapolis Dtn-Conv Ctr Area, an IHG Hotel","410 South Missouri Street, Indianapolis",4.3,N/A,N/A,lodging
The Alexander,"333 South Delaware Street, Indianapolis",4.4,N/A,N/A,lodging
Downtown,Indianapolis,N/A,N/A,N/A,neighborhood
